"sampleID" "fishID" "origin" "enclosure" "transplant" "date_in" "pre_mass" "pre_length" "post_mass" "post_length" "pw" "bd" "gw" "grn" "grl" "sex" "survived"
"78" "5" 5 "Stream" "L3" "Lake" "06/02/11" 1.5 4.9 NA NA NA NA NA NA NA NA 0
"79" "55" 55 "Stream" "L37" "Lake" "06/02/11" 2.19 5.3 NA NA NA NA NA NA NA NA 0
"80" "56" 56 "Stream" "L37" "Lake" "06/02/11" 1.81 5.3 NA NA NA NA NA NA NA NA 0
"81" "58" 58 "Stream" "L39" "Lake" "06/02/11" 0.83 3.9 NA NA NA NA NA NA NA NA 0
"82" "66" 66 "Stream" "S37" "Stream" "06/02/11" 1.82 5 NA NA NA NA NA NA NA NA 0
"83" "7" 7 "Stream" "L4" "Lake" "06/02/11" 2.53 5.7 NA NA NA NA NA NA NA NA 0
"84" "70" 70 "Stream" "S33" "Stream" "06/02/11" 1.11 4.5 NA NA NA NA NA NA NA NA 0
"85" "77" 77 "Stream" "S28" "Stream" "06/02/11" 1.42 4.6 NA NA NA NA NA NA NA NA 0
"86" "78" 78 "Stream" "S28" "Stream" "06/02/11" 1.24 4.5 NA NA NA NA NA NA NA NA 0
"87" "82" 82 "Stream" "S24" "Stream" "06/03/11" 1.09 4.2 NA NA NA NA NA NA NA NA 0
"88" "89" 89 "Stream" "S19" "Stream" "06/03/11" 1.62 4.9 NA NA NA NA NA NA NA NA 0
"89" "C01" 241 "Lake" NA "Control" NA NA NA 1.12 4.7 4.13 9.55 3.43 21 3 "M" NA
"90" "C02" 242 "Lake" NA "Control" NA NA NA 0.52 3.5 3.22 7.68 2.75 19 2.7 "M" NA
"91" "C03" 243 "Lake" NA "Control" NA NA NA 0.53 3.7 3.53 8.54 2.24 21 2.5 "M" NA
"92" "C04" 244 "Lake" NA "Control" NA NA NA 0.63 3.8 3.68 8.17 2.61 18 2.7 "M" NA
"93" "C05" 245 "Lake" NA "Control" NA NA NA 0.51 3.5 2.61 7.45 1.83 16 1.7 "M" NA
"94" "C06" 246 "Lake" NA "Control" NA NA NA 0.83 3.8 3.28 8.36 2.49 19 2.1 "F" NA
"95" "C07" 247 "Lake" NA "Control" NA NA NA 0.54 3.7 3.23 7.92 2.49 18 2.4 "M" NA
"96" "C08" 248 "Lake" NA "Control" NA NA NA 0.7 3.9 3.74 8.11 2.56 17 2.8 "M" NA
"97" "C09" 249 "Lake" NA "Control" NA NA NA 0.63 3.7 3.62 7.17 2.22 19 2.6 "M" NA
"98" "C10" 250 "Lake" NA "Control" NA NA NA 0.5 3.5 3.78 7.46 2.27 19 1.9 "F" NA
"99" "C11" 251 "Lake" NA "Control" NA NA NA 0.57 4 3.23 7.84 2.52 17 3.8 "M" NA
"100" "C12" 252 "Lake" NA "Control" NA NA NA 0.43 4.2 3.28 8.08 2.72 20 2.5 "M" NA
"101" "C13" 253 "Lake" NA "Control" NA NA NA 1.03 4.6 4.53 9.7 3.28 18 3.6 "M" NA
"102" "C14" 254 "Lake" NA "Control" NA NA NA 0.85 4.2 4.02 9.33 2.85 19 2.3 "M" NA
"103" "C15" 255 "Lake" NA "Control" NA NA NA 0.86 4.6 3.95 8.23 2.79 18 2.6 "F" NA
"104" "C16" 256 "Lake" NA "Control" NA NA NA 0.53 3.7 2.86 7.94 2.8 21 2.4 "M" NA
"105" "C17" 257 "Lake" NA "Control" NA NA NA 0.74 4.2 3.39 7.87 2.39 19 2.9 "M" NA
"106" "C18" 258 "Lake" NA "Control" NA NA NA 0.93 4.2 4.21 8.59 3.25 19 2.7 "F" NA
"107" "C19" 259 "Lake" NA "Control" NA NA NA 0.94 4.4 4.17 9.35 2.95 21 3.2 "M" NA
"108" "C20" 260 "Lake" NA "Control" NA NA NA 0.81 4.2 3.53 9.01 2.68 15 2 "M" NA
"109" "C21" 261 "Lake" NA "Control" NA NA NA 0.6 3.9 2.8 7.35 2.06 22 2.8 "M" NA
"110" "C22" 262 "Lake" NA "Control" NA NA NA 0.74 4.2 3.54 8.32 2.58 18 2.8 "M" NA
"111" "C23" 263 "Lake" NA "Control" NA NA NA 1.33 4.8 4.44 10.91 3.35 20 2.4 "M" NA
"112" "C24" 264 "Lake" NA "Control" NA NA NA 0.67 3.9 3.29 8.53 2.75 18 2 "M" NA
"113" "C25" 265 "Lake" NA "Control" NA NA NA 0.63 4.1 3.76 7.65 2.52 20 1.9 "F" NA
"114" "C26" 266 "Lake" NA "Control" NA NA NA 0.63 3.8 2.55 8.18 2.58 20 1.7 "M" NA
"115" "C27" 267 "Lake" NA "Control" NA NA NA 1.97 5.3 5.05 12.66 4.22 19 3.3 "M" NA
"116" "C28" 268 "Lake" NA "Control" NA NA NA 0.76 4.2 3.25 7.96 2.73 19 2.6 "M" NA
"117" "C29" 269 "Lake" NA "Control" NA NA NA 1.67 5.3 5.31 11.4 3.55 21 2.9 "M" NA
"118" "C30" 270 "Lake" NA "Control" NA NA NA 0.75 4.2 3.4 8.77 2.68 19 2.5 "M" NA
"119" "C31" 271 "Stream" NA "Control" NA NA NA 1.42 4.8 6.05 11.17 3.49 21 2.7 "F" NA
"120" "C32" 272 "Stream" NA "Control" NA NA NA 1.95 5.1 5.72 12.92 3.69 19 3.3 "M" NA
"121" "C33" 273 "Stream" NA "Control" NA NA NA 1.09 4.4 4.73 10.49 2.94 18 2.2 "M" NA
"122" "C34" 274 "Stream" NA "Control" NA NA NA 1.5 4.8 5.47 11.81 3.27 18 2.9 "M" NA
"123" "C35" 275 "Stream" NA "Control" NA NA NA 2.11 5.4 6.77 12.95 3.79 16 2.1 "F" NA
"124" "C36" 276 "Stream" NA "Control" NA NA NA 1.93 5.4 6.77 12.73 3.32 18 2.8 "F" NA
"125" "C37" 277 "Stream" NA "Control" NA NA NA 1.52 5 5.62 12.06 3.58 18 3.2 "M" NA
"126" "C38" 278 "Stream" NA "Control" NA NA NA 1.58 4.8 5.47 12.06 3.75 19 3 "M" NA
"127" "C39" 279 "Stream" NA "Control" NA NA NA 1.54 4.9 5.72 12.16 3.37 17 2.8 "M" NA
"128" "C40" 280 "Stream" NA "Control" NA NA NA 3.13 6.2 8.25 14.39 4.35 18 3.5 "F" NA
"129" "C41" 281 "Stream" NA "Control" NA NA NA 1.29 4.6 5.46 11.49 3.24 20 2.3 "M" NA
"130" "C42" 282 "Stream" NA "Control" NA NA NA 1.43 4.7 5.51 11.46 3.31 21 2.8 "M" NA
"131" "C43" 283 "Stream" NA "Control" NA NA NA 1.55 4.8 5.32 12.26 3.54 17 3.2 "M" NA
"132" "C44" 284 "Stream" NA "Control" NA NA NA 1.28 5 5.6 11.36 2.92 18 2.7 "F" NA
"133" "C45" 285 "Stream" NA "Control" NA NA NA 1.49 4.7 5.23 11.76 2.97 17 2.7 "F" NA
"134" "C46" 286 "Stream" NA "Control" NA NA NA 1.38 4.9 5.9 11.66 3.44 18 2.9 "F" NA
"135" "C47" 287 "Stream" NA "Control" NA NA NA 1.55 4.8 5.63 12.44 3.4 18 2 "M" NA
"136" "C48" 288 "Stream" NA "Control" NA NA NA 1.26 4.5 5.36 10.47 3.36 19 2.8 "M" NA
"137" "C49" 289 "Stream" NA "Control" NA NA NA 1.17 4.4 5.58 11.04 3.17 19 2.9 "M" NA
"138" "C50" 290 "Stream" NA "Control" NA NA NA 1.43 4.9 6.09 11.04 3.46 22 2.5 "F" NA
"139" "C51" 291 "Stream" NA "Control" NA NA NA 2.02 5.3 6.28 13.01 4.09 21 3.3 "M" NA
"140" "C52" 292 "Stream" NA "Control" NA NA NA 1.21 4.6 5.69 11.34 3.22 18 2.7 "F" NA
"141" "C53" 293 "Stream" NA "Control" NA NA NA 1.79 5.7 5.74 12.02 3.61 19 3 "M" NA
"142" "C54" 294 "Stream" NA "Control" NA NA NA 1.89 5.3 6.13 12.36 3.75 20 3.6 "M" NA
"143" "C55" 295 "Stream" NA "Control" NA NA NA 1.17 4.6 4.71 10.65 2.71 19 2.3 "M" NA
"144" "C56" 296 "Stream" NA "Control" NA NA NA 1.59 4.9 5.74 11.66 3.14 18 2.5 "F" NA
"145" "C57" 297 "Stream" NA "Control" NA NA NA 2.28 5.8 7 13.36 4.17 19 2.4 "F" NA
"146" "C58" 298 "Stream" NA "Control" NA NA NA 0.8 4 3.97 9.57 2.65 19 2.6 "F" NA
"147" "C59" 299 "Stream" NA "Control" NA NA NA 1.28 4.9 5.42 10.24 3.05 16 2.9 "F" NA
"148" "C60" 300 "Stream" NA "Control" NA NA NA 0.66 3.9 NA NA NA NA NA NA NA
"149" "L01A" 1 "Stream" "L1" "Lake" "06/02/11" 1.78 4.7 1.61 4.8 5.6 11.58 3.49 17 2.8 "M" 1
"150" "L02A" 183 "Lake" "L2" "Lake" "06/04/11" 0.74 3.9 0.69 4.1 6.28 11.89 3.43 21 3.4 "M" 1
"151" "L02A1" 3 "Stream" "L2" "Lake" "06/02/11" 1.66 5.2 1.63 5.3 3.98 9.07 2.45 18 2.6 "M" 1
"152" "L02B" 2 "Stream" "L2" "Lake" "06/02/11" 0.65 3.7 0.64 3.8 NA NA NA NA NA NA 1
"153" "L03A" 4 "Stream" "L3" "Lake" "06/02/11" 2.26 5.3 1.72 5.2 6.56 11.78 3.64 19 2.8 "F" 1
"154" "L04A" 6 "Stream" "L4" "Lake" "06/02/11" 1.89 4.9 1.79 4.9 5.8 13.04 3.62 16 2.8 "M" 1
"155" "L05A" 8 "Stream" "L5" "Lake" "06/02/11" 1.54 5.1 1.29 5.1 5.07 10.36 2.87 17 2.3 "F" 1
"156" "L05B" 9 "Stream" "L5" "Lake" "06/02/11" 1.3 4.5 1.29 4.6 5.46 10.74 3.2 18 2.1 "F" 1
"157" "L06A" 188 "Lake" "L6" "Lake" "06/04/11" 0.55 3.6 0.95 4.3 3.43 8.49 2.07 20 2.8 "M" 1
"158" "L06B" 187 "Lake" "L6" "Lake" "06/04/11" 1.52 4.9 0.96 4.9 5.18 9.03 3.03 19 2.5 "F" 1
"159" "L06C" 10 "Stream" "L7" "Lake" "06/02/11" 1.32 4.5 1.23 4.4 5.38 11.4 2.78 18 2.3 "F" 1
"160" "L07A" 11 "Stream" "L7" "Lake" "06/02/11" 1.84 5 1.7 5 5.77 11.32 4.25 19 3.1 "M" 1
"161" "L08A" 13 "Stream" "L8" "Lake" "06/02/11" 1.55 4.6 1.98 4.8 6.43 12.67 3.32 18 3 "F" 1
"162" "L08B" 191 "Lake" "L8" "Lake" "06/04/11" 0.61 3.6 0.63 3.9 3.26 8.69 2.42 19 2.8 "M" 1
"163" "L09A" 15 "Stream" "L9" "Lake" "06/02/11" 2.13 5.3 2.23 5.3 6.18 6.35 3.75 20 2.8 "M" 1
"164" "L10A" 17 "Stream" "L10" "Lake" "06/02/11" 2.06 5.1 1.9 5.2 5.77 12.64 3.66 19 2.9 "M" 1
"165" "L12A" 20 "Stream" "L12" "Lake" "06/02/11" 2.15 5.3 1.94 5.4 NA NA NA NA NA NA 1
"166" "L14A" 198 "Lake" "L14" "Lake" "06/05/11" 0.5 3.6 2.25 5.5 6.61 13.06 4.19 17 3.5 "M" 1
"167" "L14B" 23 "Stream" "L14" "Lake" "06/02/11" 0.99 4.2 1.03 4.3 4.92 10.85 2.55 16 2.5 "F" 1
"168" "L15A" 200 "Lake" "L15" "Lake" "06/05/11" 0.62 3.8 0.81 4 3.81 7.78 2.26 20 3.3 "M" 1
"169" "L15B" 25 "Stream" "L15" "Lake" "06/02/11" 2.74 5.4 2.16 5.5 6.99 13.49 3.87 18 2.6 "F" 1
"170" "L16A" 26 "Stream" "L16" "Lake" "06/02/11" 2.07 5.1 1.99 5.2 6.34 13.07 3.91 18 3.4 "M" 1
"171" "L17A" 28 "Stream" "L17" "Lake" "06/02/11" 1.93 4.9 1.61 5.2 6.15 11.72 3.21 18 2.8 "F" 1
"172" "L18A" 204 "Lake" "L18" "Lake" "06/05/11" 0.69 3.8 0.65 3.9 3.55 8.09 2.51 19 3.4 "M" 1
"173" "L18B" 29 "Stream" "L18" "Lake" "06/02/11" 0.9 4.1 0.87 4.2 4.58 9.77 2.89 16 2.4 "M" 1
"174" "L18C" 30 "Stream" "L18" "Lake" "06/02/11" 1.15 4.4 NA NA 5.12 10.45 2.85 17 2.7 "M" 0
"175" "L19A" 32 "Stream" "L19" "Lake" "06/02/11" 1.89 4.9 1.74 5.1 5.92 12.22 3.92 17 3.7 "M" 1
"176" "L20A" 33 "Stream" "L20" "Lake" "06/02/11" 1.58 4.6 1.51 4.2 5.41 11.8 3.58 18 2.9 "M" 1
"177" "L21A" 34 "Stream" "L20" "Lake" "06/02/11" 1.63 4.9 1.58 5.2 6.07 12.32 3.43 19 2.5 "F" 1
"178" "L22A" 35 "Stream" "L21" "Lake" "06/02/11" 1.82 4.9 1.81 4.9 5.6 11.96 3.7 18 3.3 "M" 1
"179" "L23A" 37 "Stream" "L22" "Lake" "06/02/11" 0.94 4.1 0.87 4.1 4.84 10.12 2.7 18 2.4 "F" 1
"180" "L23B" 36 "Stream" "L23" "Lake" "06/02/11" 1.9 5.1 1.75 5.2 5.53 12.58 3.77 19 3.3 "M" 1
"181" "L23C" 212 "Lake" "L23" "Lake" "06/05/11" 0.71 3.9 0.63 3.9 4.08 8.16 2.57 16 2.1 "F" 1
"182" "L25A" 39 "Stream" "L24" "Lake" "06/02/11" 1.36 4.6 1.56 4.2 5.69 12.11 3.35 19 3.2 "M" 1
"183" "L26A" 217 "Lake" "L26" "Lake" "06/05/11" 0.7 4 0.67 4.2 3.19 8.31 2.75 20 2.9 "M" 1
"184" "L26B" 40 "Stream" "L26" "Lake" "06/02/11" 1.93 5.2 1.65 5.3 6.02 12.19 3.38 19 2.7 "F" 1
"185" "L27A" 41 "Stream" "L27" "Lake" "06/02/11" 1.81 5.3 1.97 5.4 6.26 13.4 3.84 17 2.9 "F" 1
"186" "L28A" 42 "Stream" "L28" "Lake" "06/02/11" 1.61 4.9 1.49 4.9 6.33 10.9 3.31 16 3.1 "F" 1
"187" "L28B" 222 "Lake" "L28" "Lake" "06/05/11" 0.62 3.7 0.74 3.7 3.76 8.41 1.99 20 2.3 "M" 1
"188" "L29A" 43 "Stream" "L29" "Lake" "06/02/11" 2.06 5.1 1.72 5.2 6.12 11.96 3.63 19 2.9 "F" 1
"189" "L30A" 44 "Stream" "L30" "Lake" "06/02/11" 1.38 4.6 1.28 4.7 5.29 11.64 3.16 18 3.2 "M" 1
"190" "L31A" 45 "Stream" "L31" "Lake" "06/02/11" 1.9 5 2.18 5.2 6.62 13.23 3.67 20 2.4 "F" 1
"191" "L31B" 46 "Stream" "L31" "Lake" "06/02/11" 1.7 4.9 1.45 4.9 5.67 11.39 2.86 19 2.9 "F" 1
"192" "L31C" 227 "Lake" "L31" "Lake" "06/05/11" 0.66 3.8 0.64 4 3.47 8.59 2.53 18 2.5 "M" 1
"193" "L32A" 47 "Stream" "L32" "Lake" "06/02/11" 1.83 5.3 1.7 5.5 6.05 12.14 3.29 21 3.5 "F" 1
"194" "L32B" 228 "Lake" "L32" "Lake" "06/05/11" 0.88 4.2 0.93 4.3 3.81 8.1 2.96 21 2.2 "M" 1
"195" "L33A" 48 "Stream" "L33" "Lake" "06/02/11" 1.74 4.8 1.5 4.9 5.54 12.1 3.22 20 2.6 "F" 1
"196" "L33B" 49 "Stream" "L33" "Lake" "06/02/11" 1.74 4.6 1.48 4.8 6.05 11.86 3.26 18 3.1 "F" 1
"197" "L33C" 230 "Lake" "L33" "Lake" "06/05/11" 0.83 4.2 0.58 4.2 3.82 7.7 2.36 19 2.5 "M" 1
"198" "L34A" 50 "Stream" "L34" "Lake" "06/02/11" 0.94 4.2 1.1 4.6 4.96 10.55 2.64 17 2.6 "F" 1
"199" "L34B" 232 "Lake" "L34" "Lake" "06/05/11" 0.62 3.9 0.56 4 3.02 7.84 1.57 18 2.9 "M" 1
"200" "L35A" 51 "Stream" "L35" "Lake" "06/02/11" 1.23 4.7 1.21 4.8 5.88 10.86 3.13 16 2.8 "F" 1
"201" "L35B" 52 "Stream" "L35" "Lake" "06/02/11" 1.16 4.3 1.29 4.5 4.78 10.98 3.54 19 2.8 "M" 1
"202" "L36A" 54 "Stream" "L36" "Lake" "06/02/11" 1.59 4.9 1.56 4.9 5.74 11.77 3.24 17 3.2 "F" 1
"203" "L36B" 53 "Stream" "L36" "Lake" "06/02/11" 1.21 4.4 1.28 4.5 4.8 11.03 3.48 18 3 "M" 1
"204" "L38A" 237 "Lake" "L38" "Lake" "06/06/11" 0.71 3.9 0.69 4 4.01 7.97 2.95 18 2.9 "M" 1
"205" "L38B" 57 "Stream" "L38" "Lake" "06/02/11" 0.94 4.1 0.94 4.3 4.95 9.61 2.61 16 2.7 "F" 1
"206" "L39A" 59 "Stream" "L39" "Lake" "06/02/11" 2.09 5 2.02 5.2 6.24 13.46 3.53 18 3.3 "M" 1
"207" "L40A" 239 "Lake" "L40" "Lake" "06/06/11" 2.1 5.4 1.89 5.6 5.64 12.51 3.86 21 3 "F" 1
"208" "L40B" 60 "Stream" "L40" "Lake" "06/02/11" 1.64 4.9 1.34 5 5.57 11.01 3.12 19 2.2 "F" 1
"209" "S01B" 119 "Stream" "S1" "Stream" "06/03/11" 1.85 5 1.82 5.2 6.01 12.41 3.28 19 3 "F" 1
"210" "S01C" 121 "Lake" "S1" "Stream" "06/03/11" 2.19 5.3 1.61 5.5 5.54 11.86 3.45 18 3.9 "F" 1
"211" "S01D" 120 "Stream" "S1" "Stream" "06/03/11" 1.18 4.5 1.11 4.7 4.84 10.63 2.54 18 2.3 "F" 1
"212" "S02A" 117 "Stream" "S2" "Stream" "06/03/11" 1.31 4.5 1.63 4.9 6.02 12.29 3.5 21 2.6 "F" 1
"213" "S03A" 115 "Stream" "S3" "Stream" "06/03/11" 1.88 5 1.86 5.2 6.68 12.61 3.39 18 3.1 "F" 1
"214" "S03B" 116 "Stream" "S3" "Stream" "06/03/11" 1.24 4.2 1.4 4.4 5.05 11.65 2.76 19 2.4 "F" 1
"215" "S04A" 113 "Stream" "S4" "Stream" "06/03/11" 1.81 4.9 1.7 5.1 5.73 11.65 3.89 18 3.5 "M" 1
"216" "S04B" 114 "Stream" "S4" "Stream" "06/03/11" 2.05 5 1.54 5.2 5.48 11 3.3 17 2.6 "F" 1
"217" "S05A" 125 "Lake" "S5" "Stream" "06/03/11" 0.89 4 0.92 4.2 4.24 9.24 2.61 19 2.8 "M" 1
"218" "S05B" 112 "Stream" "S5" "Stream" "06/03/11" 1.84 5.1 1.8 5.1 5.65 11.93 3.77 18 2.7 "M" 1
"219" "S05C" 111 "Stream" "S5" "Stream" "06/03/11" 1.89 5.1 1.65 5.3 5.86 12.34 3.51 19 3.6 "M" 1
