"sampleID" "fishID" "origin" "enclosure" "transplant" "date_in" "pre_mass" "pre_length" "post_mass" "post_length" "pw" "bd" "gw" "grn" "grl" "sex" "survived"
"1" "118" 118 "Stream" "S2" "Stream" "06/03/11" 1.75 4.9 NA NA NA NA NA NA NA NA 0
"2" "12" 12 "Stream" "L8" "Lake" "06/02/11" 1.13 4.6 NA NA NA NA NA NA NA NA 0
"3" "122" 122 "Lake" "S2" "Stream" "06/03/11" 2.37 5.6 NA NA NA NA NA NA NA NA 0
"4" "123" 123 "Lake" "S3" "Stream" "06/03/11" 1.71 5.2 NA NA NA NA NA NA NA NA 0
"5" "124" 124 "Lake" "S4" "Stream" "06/03/11" 2.45 5.4 NA NA NA NA NA NA NA NA 0
"6" "127" 127 "Lake" "S7" "Stream" "06/03/11" 0.85 4 NA NA NA NA NA NA NA NA 0
"7" "138" 138 "Lake" "S14" "Stream" "06/03/11" 0.89 4.2 NA NA NA NA NA NA NA NA 0
"8" "14" 14 "Stream" "L9" "Lake" "06/02/11" 0.9 3.9 NA NA NA NA NA NA NA NA 0
"9" "143" 143 "Lake" "S18" "Stream" "06/03/11" 0.79 4 NA NA NA NA NA NA NA NA 0
"10" "145" 145 "Lake" "S20" "Stream" "06/03/11" 0.85 4 NA NA NA NA NA NA NA NA 0
"11" "146" 146 "Lake" "S20" "Stream" "06/04/11" 0.67 3.9 NA NA NA NA NA NA NA NA 0
"12" "149" 149 "Lake" "S24" "Stream" "06/04/11" 0.58 3.8 NA NA NA NA NA NA NA NA 0
"13" "152" 152 "Lake" "S22" "Stream" "06/05/11" 0.98 4.4 NA NA NA NA NA NA NA NA 0
"14" "153" 153 "Lake" "S22" "Stream" "06/04/11" 0.62 3.7 NA NA NA NA NA NA NA NA 0
"15" "155" 155 "Lake" "S25" "Stream" "06/04/11" 0.92 4.4 NA NA NA NA NA NA NA NA 0
"16" "16" 16 "Stream" "L10" "Lake" "06/02/11" 1.22 4.4 NA NA NA NA NA NA NA NA 0
"17" "166" 166 "Lake" "S32" "Stream" "06/04/11" 0.63 3.9 NA NA NA NA NA NA NA NA 0
"18" "169" 169 "Lake" "S34" "Stream" "06/04/11" 0.73 4.1 NA NA NA NA NA NA NA NA 0
"19" "171" 171 "Lake" "S35" "Stream" "06/04/11" 0.77 4.1 NA NA NA NA NA NA NA NA 0
"20" "172" 172 "Lake" "S35" "Stream" "06/04/11" 0.59 3.7 NA NA NA NA NA NA NA NA 0
"21" "173" 173 "Lake" "S36" "Stream" "06/04/11" 2.51 5.6 NA NA NA NA NA NA NA NA 0
"22" "175" 175 "Lake" "S37" "Stream" "06/04/11" 1.88 5.2 NA NA NA NA NA NA NA NA 0
"23" "176" 176 "Lake" "S38" "Stream" "06/04/11" 0.76 3.9 NA NA NA NA NA NA NA NA 0
"24" "177" 177 "Lake" "S38" "Stream" "06/04/11" 1.27 4.8 NA NA NA NA NA NA NA NA 0
"25" "179" 179 "Lake" "S39" "Stream" "06/04/11" 0.65 3.7 NA NA NA NA NA NA NA NA 0
"26" "18" 18 "Stream" "L11" "Lake" "06/02/11" 1.83 5 NA NA NA NA NA NA NA NA 0
"27" "181" 181 "Lake" "L1" "Lake" "06/04/11" 1 4.5 NA NA NA NA NA NA NA NA 0
"28" "182" 182 "Lake" "L1" "Lake" "06/04/11" 0.99 4.2 NA NA NA NA NA NA NA NA 0
"29" "184" 184 "Lake" "L3" "Lake" "06/04/11" 0.6 3.7 NA NA NA NA NA NA NA NA 0
"30" "185" 185 "Lake" "L4" "Lake" "06/04/11" 0.75 3.9 NA NA NA NA NA NA NA NA 0
"31" "186" 186 "Lake" "L5" "Lake" "06/04/11" 0.62 3.7 NA NA NA NA NA NA NA NA 0
"32" "189" 189 "Lake" "L7" "Lake" "06/04/11" 0.54 3.5 NA NA NA NA NA NA NA NA 0
"33" "19" 19 "Stream" "L11" "Lake" "06/02/11" 1.69 5 NA NA NA NA NA NA NA NA 0
"34" "190" 190 "Lake" "L7" "Lake" "06/04/11" 0.62 3.5 NA NA NA NA NA NA NA NA 0
"35" "192" 192 "Lake" "L9" "Lake" "06/05/11" 0.76 4 NA NA NA NA NA NA NA NA 0
"36" "193" 193 "Lake" "L10" "Lake" "06/05/11" 1.71 4.9 NA NA NA NA NA NA NA NA 0
"37" "194" 194 "Lake" "L11" "Lake" "06/05/11" 0.57 3.5 NA NA NA NA NA NA NA NA 0
"38" "195" 195 "Lake" "L12" "Lake" "06/05/11" 0.68 3.9 NA NA NA NA NA NA NA NA 0
"39" "196" 196 "Lake" "L13" "Lake" "06/05/11" 0.59 3.7 NA NA NA NA NA NA NA NA 0
"40" "197" 197 "Lake" "L13" "Lake" "06/05/11" 0.67 3.9 NA NA NA NA NA NA NA NA 0
"41" "199" 199 "Lake" "L15" "Lake" "06/05/11" 0.94 4.8 NA NA NA NA NA NA NA NA 0
"42" "201" 201 "Lake" "L16" "Lake" "06/05/11" 1.81 4.9 NA NA NA NA NA NA NA NA 0
"43" "202" 202 "Lake" "L16" "Lake" "06/05/11" 0.66 3.9 NA NA NA NA NA NA NA NA 0
"44" "203" 203 "Lake" "L17" "Lake" "06/05/11" 0.91 4 NA NA NA NA NA NA NA NA 0
"45" "205" 205 "Lake" "L19" "Lake" "06/05/11" 1.03 4.6 NA NA NA NA NA NA NA NA 0
"46" "206" 206 "Lake" "L20" "Lake" "06/05/11" 2.43 5.3 NA NA NA NA NA NA NA NA 0
"47" "207" 207 "Lake" "L20" "Lake" "06/05/11" 0.79 3.9 NA NA NA NA NA NA NA NA 0
"48" "208" 208 "Lake" "L21" "Lake" "06/05/11" 0.67 3.9 NA NA NA NA NA NA NA NA 0
"49" "209" 209 "Lake" "L21" "Lake" "06/05/11" 1.08 4.4 NA NA NA NA NA NA NA NA 0
"50" "21" 21 "Stream" "L12" "Lake" "06/02/11" 1.7 4.8 NA NA NA NA NA NA NA NA 0
"51" "210" 210 "Lake" "L22" "Lake" "06/05/11" 0.65 3.8 NA NA NA NA NA NA NA NA 0
"52" "211" 211 "Lake" "L22" "Lake" "06/05/11" 0.71 3.9 NA NA NA NA NA NA NA NA 0
"53" "213" 213 "Lake" "L24" "Lake" "06/05/11" 0.72 4.1 NA NA NA NA NA NA NA NA 0
"54" "214" 214 "Lake" "L24" "Lake" "06/05/11" 0.57 3.5 NA NA NA NA NA NA NA NA 0
"55" "215" 215 "Lake" "L25" "Lake" "06/05/11" 0.54 3.8 NA NA NA NA NA NA NA NA 0
"56" "216" 216 "Lake" "L25" "Lake" "06/05/11" 2.31 5.8 NA NA NA NA NA NA NA NA 0
"57" "218" 218 "Lake" "L26" "Lake" "06/05/11" 0.95 4.6 NA NA NA NA NA NA NA NA 0
"58" "219" 219 "Lake" "L27" "Lake" "06/05/11" 0.65 3.9 NA NA NA NA NA NA NA NA 0
"59" "22" 22 "Stream" "L13" "Lake" "06/02/11" 1.68 5.1 NA NA NA NA NA NA NA NA 0
"60" "220" 220 "Lake" "L27" "Lake" "06/05/11" 1.33 4.7 NA NA NA NA NA NA NA NA 0
"61" "221" 221 "Lake" "L28" "Lake" "06/05/11" 0.68 3.9 NA NA NA NA NA NA NA NA 0
"62" "223" 223 "Lake" "L29" "Lake" "06/05/11" 2.72 6.1 NA NA NA NA NA NA NA NA 0
"63" "224" 224 "Lake" "L29" "Lake" "06/05/11" 0.74 3.8 NA NA NA NA NA NA NA NA 0
"64" "225" 225 "Lake" "L30" "Lake" "06/05/11" 1.18 4.7 NA NA NA NA NA NA NA NA 0
"65" "226" 226 "Lake" "L30" "Lake" "06/05/11" 1.35 4.9 NA NA NA NA NA NA NA NA 0
"66" "229" 229 "Lake" "L32" "Lake" "06/05/11" 0.64 3.9 NA NA NA NA NA NA NA NA 0
"67" "231" 231 "Lake" "L34" "Lake" "06/05/11" 0.68 3.8 NA NA NA NA NA NA NA NA 0
"68" "233" 233 "Lake" "L35" "Lake" "06/05/11" 1.28 4.4 NA NA NA NA NA NA NA NA 0
"69" "234" 234 "Lake" "L36" "Lake" "06/05/11" 0.62 3.5 NA NA NA NA NA NA NA NA 0
"70" "235" 235 "Lake" "L37" "Lake" "06/06/11" 0.73 3.9 NA NA NA NA NA NA NA NA 0
"71" "236" 236 "Lake" "L38" "Lake" "06/06/11" 0.83 4.1 NA NA NA NA NA NA NA NA 0
"72" "238" 238 "Lake" "L39" "Lake" "06/06/11" 0.7 3.8 NA NA NA NA NA NA NA NA 0
"73" "24" 24 "Stream" "L14" "Lake" "06/02/11" 2.44 5.4 NA NA NA NA NA NA NA NA 0
"74" "240" 240 "Lake" "L40" "Lake" "06/06/11" 0.67 3.7 NA NA NA NA NA NA NA NA 0
"75" "27" 27 "Stream" "L17" "Lake" "06/02/11" 1.52 4.6 NA NA NA NA NA NA NA NA 0
"76" "31" 31 "Stream" "L19" "Lake" "06/02/11" 1.12 4.3 NA NA NA NA NA NA NA NA 0
"77" "38" 38 "Stream" "L23" "Lake" "06/02/11" 0.95 4.1 NA NA NA NA NA NA NA NA 0
