sampleID,fishID,origin,enclosure,transplant,date_in,pre_mass,pre_length,post_mass,post_length,pw,bd,gw,grn,grl,sex,survived,cage_mass_stdev,cage_mass_mean,cage_mass_mean_deviation_sd
181,181,Lake,L1,Lake,06/04/11,1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4532475409015843,1.2566666666666666,-0.56628363864062925
182,182,Lake,L1,Lake,06/04/11,0.99,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4532475409015843,1.2566666666666666,-0.5883466375487058
L01A,1,Stream,L1,Lake,06/02/11,1.78,4.7,1.61,4.8,5.6,11.58,3.49,17,2.8,M,1,0.4532475409015843,1.2566666666666666,1.1546302761893354
16,16,Stream,L10,Lake,06/02/11,1.22,4.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4219399641339196,1.6633333333333333,-1.050702400857729
193,193,Lake,L10,Lake,06/05/11,1.71,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4219399641339196,1.6633333333333333,0.11060025272186612
L10A,17,Stream,L10,Lake,06/02/11,2.06,5.1,1.9,5.2,5.77,12.64,3.66,19,2.9,M,1,0.4219399641339196,1.6633333333333333,0.9401021481358628
18,18,Stream,L11,Lake,06/02/11,1.83,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,0.6757373783994861
19,19,Stream,L11,Lake,06/02/11,1.69,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,0.47301616487964016
194,194,Lake,L11,Lake,06/05/11,0.57,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,-1.148753543279126
195,195,Lake,L12,Lake,06/05/11,0.68,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7531932023060218,1.51,-1.1019748949656234
21,21,Stream,L12,Lake,06/02/11,1.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7531932023060218,1.51,0.2522593133053836
L12A,20,Stream,L12,Lake,06/02/11,2.15,5.3,1.94,5.4,NA,NA,NA,NA,NA,NA,1,0.7531932023060218,1.51,0.8497155816602396
196,196,Lake,L13,Lake,06/05/11,0.59,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,-0.6419372603460065
197,197,Lake,L13,Lake,06/05/11,0.67,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,-0.5102578223263128
22,22,Stream,L13,Lake,06/02/11,1.68,5.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,1.1521950826723193
24,24,Stream,L14,Lake,06/02/11,2.44,5.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0088111815399352,1.31,1.1201303283287085
L14A,198,Lake,L14,Lake,06/05/11,0.5,3.6,2.25,5.5,6.61,13.06,4.19,17,3.5,M,1,1.0088111815399352,1.31,-0.8029252795984548
L14B,23,Stream,L14,Lake,06/02/11,0.99,4.2,1.03,4.3,4.92,10.85,2.55,16,2.5,F,1,1.0088111815399352,1.31,-0.3172050487302538
199,199,Lake,L15,Lake,06/05/11,0.94,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1428619047519843,1.4333333333333333,-0.43166486806679677
L15A,200,Lake,L15,Lake,06/05/11,0.62,3.8,0.81,4,3.81,7.78,2.26,20,3.3,M,1,1.1428619047519843,1.4333333333333333,-0.7116637014074216
L15B,25,Stream,L15,Lake,06/02/11,2.74,5.4,2.16,5.5,6.99,13.49,3.87,18,2.6,F,1,1.1428619047519843,1.4333333333333333,1.1433285694742186
201,201,Lake,L16,Lake,06/05/11,1.81,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7503554713156514,1.5133333333333332,0.3953681661659642
202,202,Lake,L16,Lake,06/05/11,0.66,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7503554713156514,1.5133333333333332,-1.1372387700953568
L16A,26,Stream,L16,Lake,06/02/11,2.07,5.1,1.99,5.2,6.34,13.07,3.91,18,3.4,M,1,0.7503554713156514,1.5133333333333332,0.7418706039293931
203,203,Lake,L17,Lake,06/05/11,0.91,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5132575701666107,1.4533333333333334,-1.0585977975092693
27,27,Stream,L17,Lake,06/02/11,1.52,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5132575701666107,1.4533333333333334,0.12988930030788579
L17A,28,Stream,L17,Lake,06/02/11,1.93,4.9,1.61,5.2,6.15,11.72,3.21,18,2.8,F,1,0.5132575701666107,1.4533333333333334,0.9287084972013834
L18A,204,Lake,L18,Lake,06/05/11,0.69,3.8,0.65,3.9,3.55,8.09,2.51,19,3.4,M,1,0.23028967265887831,0.9133333333333333,-0.9697930903925112
